--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 4.50  11000 -5.0  2.0  0.1738  0.2818 Kp L ATLAS 
 5.00  11000 -5.0  2.0  0.1732  0.2833 Kp L ATLAS 
 2.50  11500 -5.0  2.0  0.1834  0.2878 Kp L ATLAS 
 3.00  11500 -5.0  2.0  0.1748  0.2821 Kp L ATLAS 
 3.50  11500 -5.0  2.0  0.1706  0.2786 Kp L ATLAS 
 4.00  11500 -5.0  2.0  0.1677  0.2780 Kp L ATLAS 
 4.50  11500 -5.0  2.0  0.1656  0.2791 Kp L ATLAS 
 5.00  11500 -5.0  2.0  0.1641  0.2811 Kp L ATLAS 
 2.50  12000 -5.0  2.0  0.1775  0.2885 Kp L ATLAS 
 3.00  12000 -5.0  2.0  0.1686  0.2811 Kp L ATLAS 
 3.50  12000 -5.0  2.0  0.1640  0.2768 Kp L ATLAS 
 4.00  12000 -5.0  2.0  0.1609  0.2755 Kp L ATLAS 
 4.50  12000 -5.0  2.0  0.1591  0.2758 Kp L ATLAS 
 5.00  12000 -5.0  2.0  0.1571  0.2778 Kp L ATLAS 
 2.50  12500 -5.0  2.0  0.1726  0.2892 Kp L ATLAS 
 3.00  12500 -5.0  2.0  0.1630  0.2805 Kp L ATLAS 
 3.50  12500 -5.0  2.0  0.1583  0.2749 Kp L ATLAS 
 4.00  12500 -5.0  2.0  0.1553  0.2728 Kp L ATLAS 
 4.50  12500 -5.0  2.0  0.1535  0.2725 Kp L ATLAS 
 5.00  12500 -5.0  2.0  0.1518  0.2739 Kp L ATLAS 
 2.50  13000 -5.0  2.0  0.1680  0.2902 Kp L ATLAS 
 3.00  13000 -5.0  2.0  0.1582  0.2797 Kp L ATLAS 
 3.50  13000 -5.0  2.0  0.1534  0.2730 Kp L ATLAS 
 4.00  13000 -5.0  2.0  0.1506  0.2698 Kp L ATLAS 
 4.50  13000 -5.0  2.0  0.1484  0.2693 Kp L ATLAS 
 5.00  13000 -5.0  2.0  0.1466  0.2705 Kp L ATLAS 
 2.00  14000 -5.0  2.0  0.1910  0.3028 Kp L ATLAS 
 2.50  14000 -5.0  2.0  0.1606  0.2928 Kp L ATLAS 
 3.00  14000 -5.0  2.0  0.1496  0.2792 Kp L ATLAS 
 3.50  14000 -5.0  2.0  0.1449  0.2696 Kp L ATLAS 
 4.00  14000 -5.0  2.0  0.1420  0.2647 Kp L ATLAS 
 4.50  14000 -5.0  2.0  0.1399  0.2631 Kp L ATLAS 
 5.00  14000 -5.0  2.0  0.1381  0.2634 Kp L ATLAS 
 2.50  15000 -5.0  2.0  0.1543  0.2965 Kp L ATLAS 
 3.00  15000 -5.0  2.0  0.1423  0.2795 Kp L ATLAS 
 3.50  15000 -5.0  2.0  0.1376  0.2670 Kp L ATLAS 
 4.00  15000 -5.0  2.0  0.1350  0.2601 Kp L ATLAS 
 4.50  15000 -5.0  2.0  0.1329  0.2573 Kp L ATLAS 
 5.00  15000 -5.0  2.0  0.1311  0.2569 Kp L ATLAS 
 2.50  16000 -5.0  2.0  0.1490  0.3011 Kp L ATLAS 
 3.00  16000 -5.0  2.0  0.1354  0.2812 Kp L ATLAS 
 3.50  16000 -5.0  2.0  0.1309  0.2657 Kp L ATLAS 
 4.00  16000 -5.0  2.0  0.1287  0.2565 Kp L ATLAS 
 4.50  16000 -5.0  2.0  0.1269  0.2522 Kp L ATLAS 
 5.00  16000 -5.0  2.0  0.1253  0.2509 Kp L ATLAS 
 2.50  17000 -5.0  2.0  0.1454  0.3056 Kp L ATLAS 
 3.00  17000 -5.0  2.0  0.1287  0.2841 Kp L ATLAS 
 3.50  17000 -5.0  2.0  0.1244  0.2655 Kp L ATLAS 
 4.00  17000 -5.0  2.0  0.1228  0.2540 Kp L ATLAS 
 4.50  17000 -5.0  2.0  0.1214  0.2480 Kp L ATLAS 
 5.00  17000 -5.0  2.0  0.1200  0.2458 Kp L ATLAS 
 2.50  18000 -5.0  2.0  0.1441  0.3099 Kp L ATLAS 
 3.00  18000 -5.0  2.0  0.1226  0.2873 Kp L ATLAS 
 3.50  18000 -5.0  2.0  0.1179  0.2663 Kp L ATLAS 
 4.00  18000 -5.0  2.0  0.1169  0.2524 Kp L ATLAS 
 4.50  18000 -5.0  2.0  0.1160  0.2450 Kp L ATLAS 
 5.00  18000 -5.0  2.0  0.1150  0.2417 Kp L ATLAS 
 2.50  19000 -5.0  2.0  0.1455  0.3142 Kp L ATLAS 
 3.00  19000 -5.0  2.0  0.1179  0.2903 Kp L ATLAS 
 3.50  19000 -5.0  2.0  0.1118  0.2674 Kp L ATLAS 
 4.00  19000 -5.0  2.0  0.1109  0.2517 Kp L ATLAS 
 4.50  19000 -5.0  2.0  0.1105  0.2429 Kp L ATLAS 
 5.00  19000 -5.0  2.0  0.1099  0.2387 Kp L ATLAS 
 3.00  20000 -5.0  2.0  0.1141  0.2942 Kp L ATLAS 
 3.50  20000 -5.0  2.0  0.1065  0.2686 Kp L ATLAS 
 4.00  20000 -5.0  2.0  0.1054  0.2511 Kp L ATLAS 
 4.50  20000 -5.0  2.0  0.1051  0.2413 Kp L ATLAS 
 5.00  20000 -5.0  2.0  0.1050  0.2362 Kp L ATLAS 
 3.00  21000 -5.0  2.0  0.1113  0.2990 Kp L ATLAS 
 3.50  21000 -5.0  2.0  0.1015  0.2708 Kp L ATLAS 
 4.00  21000 -5.0  2.0  0.1002  0.2509 Kp L ATLAS 
 4.50  21000 -5.0  2.0  0.1001  0.2398 Kp L ATLAS 
 5.00  21000 -5.0  2.0  0.0999  0.2343 Kp L ATLAS 
 3.00  22000 -5.0  2.0  0.1099  0.3044 Kp L ATLAS 
